AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002342,79.2,50.682,117.9288,65.2,39.7681,100.7769,65.1,39.6927,100.6425,66.7,40.6961,103.0771,72.1,44.6,110.2556,58.3,33.8839,93.4562,120.4,69.8748,193.1503,97.7,53.1226,164.359,74.9,37.2963,134.1642,69.7,33.3002,128.3801,73.7,35.2293,135.7186,65.6,29.807,124.8429,42,16.7808,86.7229,35.1,12.751,76.6397,54.2,24.4397,103.4578,61.1,28.9658,112.9036,70.1,34.7206,125.8586,52.9,22.639,104.5748
MSOA,E02002343,95.1,58.0753,146.4708,75.4,42.6088,123.1567,73.1,41.2795,119.443,83.3,49.6709,130.7624,56.6,30.555,95.5465,72.7,42.6826,115.473,111.8,56.0208,197.993,99.9,46.8493,185.4231,114.8,58.0461,202.4992,127.3,68.2092,215.6617,96.9,49.2717,170.4979,112.6,60.8526,189.9808,80,35.9282,152.9455,55,19.807,120.4126,36.5,9.7041,93.9713,44.1,14.2079,103.1344,17.7,2.0268,64.2856,34.3,9.084,88.3826
MSOA,E02002344,65.6,40.5324,100.3807,62.3,37.9539,96.358,53.3,30.9422,85.4925,47.4,26.412,78.3522,39.2,20.7579,67.2071,38.8,20.5611,66.4985,133,81.018,205.7181,105.8,60.2539,172.1328,93.9,51.1723,157.793,67.5,32.2288,124.3607,45.2,17.9752,93.4796,40.1,14.5482,87.5926,6,0.1091,33.6308,23.6,6.3845,60.5235,17.5,3.4972,51.413,29.3,9.3938,68.6132,33.9,12.3121,74.025,37.8,15.0432,78.1562
MSOA,E02002345,43,21.3066,77.1892,38.9,18.555,71.6981,44.6,22.85,78.2093,55,30.5849,91.0064,53.8,29.8568,89.1105,44.2,23.279,75.9715,72.3,32.757,137.7497,55.1,21.8477,114.0685,53.1,21.0519,109.9331,75.4,35.7015,139.3979,65.1,29.2612,124.4186,61.7,27.7834,117.8371,15.7,1.8233,56.9458,23.4,4.7582,68.5481,36.6,11.6868,85.8014,35.7,11.4258,83.6396,42.6,15.4815,93.0047,27.3,7.2633,70.2742
MSOA,E02002346,87.3,53.1762,135.0361,80.5,48.215,126.0653,89.8,55.959,136.3964,77.5,46.4041,121.387,68.6,39.7293,110.1704,80,48.6375,123.8733,137.1,76.2037,226.9074,141.7,80.1079,231.4021,151.2,88.5399,240.487,135.7,76.5965,221.7778,107,56.1984,184.1496,114.7,61.9454,193.5868,41.9,13.5759,97.8377,25.1,5.1545,73.4054,32.9,8.8992,84.3763,24.4,4.976,71.4424,32.3,8.7163,82.8818,47.2,17.24,102.8862
MSOA,E02002347,94.7,57.972,145.6591,115.6,73.8403,171.9574,99.5,60.6121,153.4559,101.3,62.3566,154.9219,90.6,53.4579,143.0203,91.2,54.5967,142.4047,144.8,77.1142,246.0142,162.5,90.376,267.5407,132.4,68.3835,229.6184,144.7,78.5331,242.2802,141.3,76.4997,236.8648,140.3,78.1213,230.8565,56.1,22.2991,116.0414,75.3,33.9835,143.6851,69.1,29.1415,137.3345,60.9,23.5535,127.1291,42.1,11.1679,108.4425,43,11.297,110.9959
MSOA,E02002348,98,62.6085,146.0633,64.8,36.8134,105.5594,56.4,30.5809,95.0088,55,29.7843,92.7064,47.4,24.2054,83.2416,44.5,21.9783,79.9946,179.6,108.4032,279.1978,106.3,53.6854,187.6029,97.7,47.3942,176.9829,96.2,46.8108,174.0384,69,28.702,137.8142,44.4,13.8986,104.6376,32.8,8.8669,84.1312,31.8,8.5277,81.7139,24,4.7647,70.5855,21.3,4.3418,62.3706,29,7.8184,74.4298,44.5,16.1578,97.1792
MSOA,E02002349,107.7,66.8144,163.9963,95.3,56.8263,149.5997,82.6,47.5243,133.1048,79.6,45.5963,128.5613,68.3,37.4506,113.7954,60,32.2493,101.497,169.9,97.1062,274.7143,136.1,70.8177,235.2406,121.8,60.7653,216.1141,126,64.5735,219.285,94.6,43.1542,177.5358,88.5,41.1318,164.8623,53.3,17.0422,124.9061,64.9,23.5365,141.7816,50,16.1573,116.8364,38.9,10.5483,99.7081,45.3,14.5041,106.1194,33.8,8.9956,86.9998
MSOA,E02002350,69.4,43.3746,105.2349,53.5,31.0008,85.8961,52.8,30.6504,84.6927,55.5,32.8006,87.8454,41.3,21.8428,70.8486,44.4,23.4396,76.2315,89.1,47.274,152.6189,75,37.2342,134.5196,66.6,31.7725,122.7453,59.6,27.0829,113.4207,48.2,19.1422,99.7302,51.8,20.5722,107.1784,51.6,23.5658,98.0009,33.9,12.3772,73.9041,40.2,16.1451,82.8582,51.4,23.4899,97.5955,34.8,12.7076,75.8628,37.5,13.6072,81.9091
MSOA,E02002351,66.2,38.9205,105.0717,60.4,35.0536,96.8957,54.8,30.5273,90.5964,58,32.9395,94.4978,56.9,32.4492,92.51,39,19.4342,69.836,93.7,47.8514,164.5478,79.9,39.6937,143.2659,73.9,35.1806,136.3195,80.4,39.9077,144.2166,82.6,41.0874,148.0247,52.8,21.1662,108.8983,40.5,14.7292,88.3997,41.7,15.1578,91.0336,36.7,11.7731,85.9285,37.2,11.7787,87.405,33.5,10.8236,78.284,26.5,7.1289,68.0466
