AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002340,2301.1198,1933.1247,2718.3818,2309.1389,1941.3071,2726.0285,2321.6902,1952.7077,2739.6981,2339.3309,1971.3183,2755.6962,2358.8553,1989.1886,2776.9138,2279.571,1921.4484,2684.7468,2254.7608,1897.9639,2658.7864,2306.9073,1938.4358,2724.1528,2234.7708,1871.5445,2647.0018,2153.432,1800.6213,2554.4062,2169.6656,1816.9473,2570.3446,2193.0348,1839.0916,2594.7302,2238.0113,1881.8619,2641.4811,2253.9057,1894.8693,2660.646,2193.8118,1841.3199,2593.6766,2195.4747,1842.9551,2595.3709,2232.7672,1880.0506,2631.9987,2325.3464,1966.7615,2730.0353
MSOA,E02002341,669.3609,507.5548,865.8478,685.6115,521.4334,884.6521,710.9653,544.2787,912.103,705.4077,540.0307,904.9651,711.268,546.0234,910.3695,713.8064,547.7875,913.8407,707.3198,542.6462,905.7333,731.0388,563.6596,932.1339,703.8799,541.0442,899.7942,723.3261,558.2982,921.3215,734.2807,567.5748,934.0184,694.3632,532.6341,889.2288,675.0205,515.5633,867.7278,648.3607,491.8921,838.3661,662.5468,503.9636,854.8045,615.8878,439.1524,839.0818,632.9649,478.7559,820.5418,665.8086,507.652,857.2426
MSOA,E02002342,998.8801,777.3435,1263.6173,984.397,764.3849,1247.6538,1333.6384,970.3797,1787.4934,1047.7426,818.7677,1320.3497,992.7749,769.7372,1259.652,1028.1639,801.5042,1298.3435,998.3919,774.8819,1265.4874,1025.5915,799.5483,1295.0362,967.0363,749.4654,1227.372,960.5392,745.9017,1217.032,927.2811,716.252,1180.4674,991.0886,773.4568,1250.5068,1041.4832,815.5073,1310.1992,1002.0651,780.3534,1266.6754,1034.5833,808.3481,1303.9287,1052.3742,824.3657,1323.5072,1018.4372,794.612,1285.2379,1044.1102,816.9527,1314.2313
MSOA,E02002343,1871.4114,1504.5736,2299.4867,1784.7487,1427.6783,2202.8694,1822.1281,1457.585,2248.9992,1699.7368,1354.467,2105.1531,1716.0122,1367.0537,2125.7598,1661.289,1321.8181,2060.2749,1660.9999,1324.1763,2056.4987,1593.1157,1262.5575,1982.775,1564.2604,1239.3523,1947.2594,1597.9479,1272.6041,1980.33,1582.0696,1260.1463,1960.4315,1590.052,1265.6634,1971.3114,1756.267,1413.7542,2155.9567,1807.241,1459.0388,2212.5757,1888.0913,1534.6785,2297.6159,1910.1051,1552.7596,2324.1868,1884.7082,1530.5832,2295.3589,1954.1169,1595.6061,2368.376
MSOA,E02002344,1020.8959,813.8975,1263.9537,946.8329,749.0539,1180.2112,932.6622,736.7383,1164.0919,939.9575,742.4839,1173.2178,948.008,747.7295,1184.8323,1026.65,818.1739,1271.443,1044.6061,835.4409,1289.7543,1047.778,839.4105,1291.7712,1040.7152,832.6556,1284.5677,1053.884,844.7689,1298.7527,1052.2887,843.3466,1296.9548,1029.8324,822.018,1273.8483,1040.779,831.2555,1286.5724,1076.7234,864.3291,1324.9952,1097.1854,882.7634,1347.4017,1116.5782,887.6992,1385.8436,1148.9223,930.0671,1403.2873,1133.228,917.4718,1383.9911
MSOA,E02002345,724.849,529.7083,967.4807,709.5659,516.4925,950.1991,705.0781,511.8285,946.5239,660.8203,477.8582,889.9948,640.4883,459.6552,868.2129,695.6375,507.2388,930.4445,691.6219,504.6713,924.624,681.8495,495.7706,914.3362,624.4375,450.1074,843.3752,639.8879,462.982,861.4766,598.9785,425.8491,818.2605,636.2046,458.2624,859.6787,724.5431,535.5056,958.0163,757.8945,563.9923,996.3864,795.3958,595.4044,1040.4181,848.8404,640.6443,1102.524,847.2223,642.8438,1095.4065,886.4083,677.8169,1138.4954
MSOA,E02002346,1996.5163,1638.7226,2408.844,1985.5051,1628.7239,2396.9348,2265.6543,1632.5182,3058.7076,2060.9677,1696.3409,2480.3685,1988.1036,1629.9826,2401.0784,1912.3918,1561.7407,2317.8494,1855.4526,1510.0434,2255.7028,1806.8426,1465.6298,2203.1139,1893.3859,1544.6138,2296.9538,1880.4576,1533.4714,2281.959,1837.083,1491.8691,2237.6982,1840.5093,1493.7904,2242.8711,1806.3978,1464.1431,2203.8791,1840.6373,1493.633,2243.3303,1770.4655,1431.1009,2165.5125,1732.4515,1395.5273,2125.2935,1788.1297,1445.7154,2186.4116,1788.0652,1447.1876,2184.2509
MSOA,E02002347,2805.321,2353.5169,3316.4871,2827.6593,2369.8107,3346.1126,2875.2826,2412.781,3398.5517,2840.2057,2380.6315,3360.6131,2842.1451,2383.7166,3361.0293,2840.5535,2383.9394,3357.1615,2823.1416,2367.5232,3338.8451,2760.17,2311.1368,3268.8648,2800.9816,2345.6025,3316.8653,2868.5068,2408.837,3388.3504,2806.4251,2354.7221,3317.6969,2942.211,2479.4762,3464.4405,2885.5282,2428.9364,3401.4578,2844.4068,2390.0948,3358.1912,2800.9301,2351.0534,3310.1347,2945.2254,2424.3528,3542.5378,2782.5343,2341.743,3280.8179,2785.7401,2345.0387,3283.9221
MSOA,E02002348,1721.4588,1402.3611,2089.677,1738.8738,1417.8106,2109.1146,1747.7262,1359.7957,2208.4896,1640.6432,1328.3481,2002.0032,1672.7133,1356.3186,2038.3073,1713.3139,1396.1941,2078.5325,1749.2718,1429.4859,2117.0958,1699.4105,1387.0348,2059.1656,1614.7247,1313.0819,1963.0353,1631.9558,1329.102,1981.4297,1617.6037,1315.366,1967.0808,1612.3585,1311.2429,1960.2974,1614.8427,1316.0064,1959.9125,1606.1046,1306.5429,1952.4874,1649.8714,1343.5177,2003.863,1552.4163,1256.8254,1895.4449,1485.767,1196.969,1821.9505,1545.2488,1251.7465,1885.6003
MSOA,E02002349,1361.3897,1056.0218,1725.8425,1307.4553,1007.8532,1665.946,1350.9896,1044.7852,1716.4408,1429.4607,1118.742,1798.0935,1461.7284,1150.7213,1829.097,1464.3255,1154.2483,1830.2151,1482.2488,1170.5063,1849.7283,1494.8025,1185.6957,1858.4522,1528.3066,1217.9714,1892.3628,1478.1633,1174.0933,1835.5419,1524.2717,1212.4835,1890.3739,1540.1518,1227.009,1907.5017,1581.458,1264.028,1953.1608,1528.7886,1217.5178,1894.2832,1456.2428,1154.6039,1811.4561,1450.9302,1146.5135,1810.1405,1521.4175,1210.9359,1885.9855,1630.629,1310.155,2004.2907
MSOA,E02002350,1260.1884,1012.3565,1549.8839,1224.6818,980.793,1510.2696,1098.6155,490.49,2105.156,1147.7939,913.1109,1423.8874,1159.8153,924.6633,1436.1934,1118.5522,889.2695,1388.5581,1105.0856,878.5131,1371.8999,1090.857,865.5297,1356.4709,1150.6248,915.9328,1426.4622,1110.1576,881.7699,1379.1095,1106.4171,880.1011,1372.6673,1092.4478,868.7439,1355.625,1041.9265,823.1295,1300.3745,1047.9075,827.5096,1308.2465,1040.5364,820.8143,1300.0771,1026.0211,807.8893,1283.9564,1025.6154,809.5294,1280.861,1065.124,846.8807,1321.629
