AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002340,3273.7735,2824.1768,3773.6867,3339.006,2885.3098,3842.937,3325.1319,2876.1542,3823.6909,3335.9812,2892.1995,3828.2619,3338.1409,2893.4093,3831.6012,3431.9531,2985.1968,3926.4364,3459.08,3009.3425,3956.7448,3469.6828,3016.8193,3970.9257,3390.2948,2942.4424,3886.5932,3408.4301,2962.5998,3902.1255,3497.6428,3046.4121,3996.6091,3470.1718,3019.787,3968.4353,3591.06,3133.9571,4095.7193,3580.4913,3125.8059,4082.371,3701.192,3237.9626,4211.735,3697.6342,3234.9453,4207.5815,3685.3796,3228.0083,4189.0488,3763.9919,3303.7869,4270.0726
MSOA,E02002341,3899.2239,3483.118,4350.9581,3937.6425,3519.7271,4391.17,3983.6545,3563.6091,4439.1569,4043.6094,3618.7737,4504.1398,3965.7603,3549.8589,4416.6056,4131.271,3706.7066,4590.7072,4146.7703,3721.3752,4607.0539,4068.1373,3648.4873,4522.4612,4066.0234,3648.0543,4518.3226,4043.5529,3627.5195,4493.8081,4043.9111,3628.5196,4493.3706,4085.4591,3668.7177,4536.1793,4102.1391,3684.423,4553.8639,4194.004,3770.3971,4651.8022,4261.306,3834.4661,4722.3063,4499.9478,3987.6747,5058.9403,3989.4794,3580.0208,4432.5691,4066.3068,3653.473,4512.6545
MSOA,E02002342,3958.5272,3499.2478,4460.8812,3883.1707,3429.9947,4379.0954,3637.091,3025.3177,4335.5306,3955.7099,3493.2485,4461.7115,3944.0066,3481.0909,4450.5897,4137.7891,3664.7263,4654.2321,4168.1574,3692.0852,4687.7264,4191.7418,3714.5379,4712.4667,4202.4999,3724.5771,4723.9304,4181.3071,3704.8845,4701.1008,4136.4489,3661.7313,4654.859,3964.6319,3502.3157,4470.3074,4078.5745,3610.625,4589.7536,4049.5111,3582.2675,4560.162,4091.1468,3619.3217,4606.6408,4043.8369,3577.2848,4553.814,4074.1563,3607.1084,4584.3505,4053.299,3589.05,4560.3561
MSOA,E02002343,4089.6876,3542.2501,4696.6456,4043.4217,3495.5588,4651.4696,3995.44,3445.4305,4606.6736,4048.845,3496.4895,4661.565,3987.1841,3444.1817,4589.8376,4114.1108,3560.6396,4727.0037,4075.8418,3528.892,4681.3672,4091.864,3551.1352,4690.0757,3997.4497,3465.8511,4585.9798,4015.981,3483.3954,4605.4628,4116.0211,3580.4655,4707.9604,4168.1454,3628.9423,4763.5787,4166.84,3632.0275,4757.1637,4096.8916,3567.8237,4681.2632,4046.0203,3523.1441,4623.6828,3857.1847,3347.4816,4421.6104,3759.1236,3257.0965,4315.7339,3810.0525,3307.7615,4366.2703
MSOA,E02002344,3602.4518,3203.3266,4037.0856,3664.1657,3263.1442,4100.3218,3730.5292,3326.6172,4169.4779,3897.2743,3482.0712,4347.9148,3913.6654,3494.5875,4368.6837,3887.168,3472.6452,4337.0701,3887.6456,3473.6083,4337.0772,3877.6107,3465.741,4324.5774,3834.0836,3425.6112,4277.4747,3924.4569,3511.3608,4372.4779,3948.2571,3534.6548,4396.6102,3993.4561,3574.4696,4447.7004,3988.5734,3569.8965,4442.3732,3923.7184,3509.8227,4372.4976,3977.3196,3561.8368,4427.3917,4030.0451,3584.9179,4514.5024,3898.9191,3489.2241,4342.9307,3930.473,3521.418,4373.4281
MSOA,E02002345,4005.2597,3525.6415,4531.3052,4085.0797,3600.2892,4616.3269,4066.0389,3574.0902,4606.2018,4202.8844,3713.0184,4738.7819,4288.9081,3793.8504,4830.1312,4318.0178,3820.3253,4861.8597,4356.4636,3854.3463,4904.9669,4432.474,3926.5572,4984.869,4444.5836,3940.8887,4994.2155,4422.0531,3918.8856,4971.277,4428.7817,3925.0764,4978.5926,4377.8037,3875.4062,4926.4413,4447.7846,3942.9103,4998.5373,4499.833,3995.6805,5049.3908,4492.4847,3988.4151,5042.0328,4538.5867,4025.87,5097.9785,4366.1592,3875.3745,4901.4617,4470.9547,3974.7565,5011.6063
MSOA,E02002346,3480.6857,2998.1288,4018.2992,3452.7303,2974.8342,3985.1513,3369.0422,2606.8487,4279.8667,3474.7811,2992.4456,4012.148,3446.8219,2965.7481,3983.0938,3507.2973,3022.0296,4047.6226,3424.9005,2948.4118,3955.9066,3398.4658,2923.1697,3928.4524,3443.5098,2966.1075,3975.3806,3443.5806,2963.1592,3979.1252,3472.3516,2985.944,4014.7283,3449.9283,2959.9502,3996.775,3425.8678,2938.0793,3970.4357,3425.496,2943.7393,3962.8455,3339.6228,2868.7914,3865.1006,3504.5715,3018.4167,4045.8847,3426.6549,2944.7211,3964.043,3384.92,2907.4427,3917.4962
MSOA,E02002347,3644.2031,3123.4745,4224.3435,3496.8145,2990.1331,4062.4746,3531.3982,3022.8093,4098.8453,3543.1714,3035.5982,4109.3164,3598.6677,3084.3724,4172.141,3556.1618,3049.5454,4120.907,3640.2192,3127.4157,4211.0437,3662.8235,3149.1117,4234.3406,3649.3553,3136.0933,4220.5304,3664.67,3152.0756,4234.944,3588.7409,3085.3989,4149.0333,3564.5517,3063.3495,4122.6195,3607.3423,3104.3344,4167.1064,3528.5883,3029.745,4084.5068,3728.8252,3215.2599,4299.5577,3726.9418,3146.2245,4381.2881,3395.4552,2907.7913,3939.884,3453.0194,2959.9924,4003.1037
MSOA,E02002348,3628.7711,3169.3115,4134.3316,3667.9523,3206.4381,4175.3737,3980.0369,3399.397,4628.4624,3669.3787,3208.0179,4176.6315,3587.6676,3130.5923,4090.8064,3774.4763,3305.7697,4289.1192,3771.3959,3304.3597,4284.2047,3697.7305,3236.2452,4205.0218,3768.8762,3302.8563,4280.7611,3786.9394,3320.3618,4299.2446,3807.4042,3339.5041,4321.2576,3817.492,3345.4873,4336.0488,3882.7217,3410.0195,4401.4642,3875.7973,3403.7274,4393.8459,3805.6856,3337.5052,4319.9436,3746.2318,3281.5709,4257.0138,3750.3845,3286.1747,4260.4746,3768.4663,3307.3091,4274.6322
MSOA,E02002349,3607.9848,3103.9256,4168.7631,3509.0713,3009.8317,4065.5933,3610.735,3103.6683,4175.0158,3604.3972,3097.695,4168.9109,3724.9128,3212.9547,4293.7074,3604.2772,3098.6818,4167.078,3691.6006,3184.1936,4255.3389,3755.3584,3250.6744,4314.9145,3810.4761,3302.5718,4373.184,3768.6011,3267.3376,4323.8159,3799.7736,3294.4108,4359.5289,3770.046,3269.5658,4324.2587,3850.8429,3346.0658,4409.1502,3895.4146,3389.0451,4455.0951,3799.919,3300.4514,4352.6135,3802.7226,3299.3638,4359.9886,3907.3119,3404.2572,4462.5815,3864.6063,3363.8472,4417.5864
MSOA,E02002350,3870.003,3420.7077,4361.4365,3819.4912,3372.5118,4308.6348,4850.5189,3455.1818,6612.6494,3952.5274,3496.7866,4450.6069,3926.3892,3473.6913,4421.2226,4358.2762,3879.0742,4879.819,4344.4998,3868.1738,4862.7696,4483.6979,3996.8299,5012.8681,4540.3993,4049.2715,5074.0592,4511.6595,4021.6997,5044.1201,4394.115,3911.593,4918.9831,4483.1686,3993.8907,5014.9581,4398.1961,3911.3328,4927.9311,4401.5231,3914.5736,4931.2794,4431.9335,3941.4644,4965.4461,4450.4219,3960.1794,4983.4724,4417.4894,3933.1426,4943.989,4453.3694,3971.2214,4976.8667
MSOA,E02002351,2811.3147,2419.4605,3248.0029,2798.4086,2408.0519,3233.428,2860.4711,2465.9035,3299.6819,2977.1712,2535.7232,3472.5815,3034.2171,2619.5917,3494.8733,3093.4259,2675.7385,3556.8788,3104.2255,2686.045,3568.1071,3090.1939,2674.0638,3551.9189,3136.1813,2718.7365,3598.8975,3177.2292,2756.365,3643.3913,3211.7943,2788.0084,3680.9655,3318.6433,2887.6349,3795.0285,3441.5034,3000.8637,3927.6674,3416.2222,2977.3477,3900.5439,3488.7046,3044.2873,3978.514,3508.8135,3063.7005,3999.2872,3580.9962,3137.8537,4068.3136,3667.8815,3219.169,4160.6629
MSOA,E02002352,3685.8589,3259.3134,4151.235,3746.274,3317.779,4213.2922,3729.85,3303.9092,4193.9499,3870.259,3437.502,4340.931,3912.0733,3474.1739,4388.5984,3978.5824,3538.309,4457.1096,3976.6988,3537.8419,4453.6237,3956.0257,3517.1832,4433.0608,4088.4425,3643.6966,4571.1472,4096.027,3652.3604,4577.4401,4167.339,3718.9113,4653.858,4100.6593,3655.2056,4584.3154,4164.6465,3716.4152,4651.0127,4198.1108,3748.7877,4685.4812,4184.9628,3736.5698,4671.5651,4218.4758,3762.3263,4713.9993,4194.5678,3745.7132,4681.7932,4179.7673,3730.7548,4667.2256
