AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002340,20917.9101,19581.967,22320.3159,21259.4437,19912.4362,22672.8439,21519.4774,20166.3552,22938.7578,21741.4926,20383.4811,23165.4107,21953.9986,20580.9171,23393.7532,21473.9269,20134.6225,22878.1278,21318.0324,19986.5801,22714.1024,21450.8427,20097.689,22870.4403,21451.786,20112.5567,22855.9081,21331.2516,19996.2845,22731.1094,21265.0368,19934.6531,22660.0543,21558.7904,20219.6214,22962.4783,21947.7887,20594.1208,23366.041,22082.2696,20727.375,23501.4486,22299.9597,20935.5361,23728.8931,22817.0889,21438.6391,24259.8502,22668.9485,21306.1222,24095.0502,23154.6494,21772.9917,24599.9378
MSOA,E02002341,16994.5883,15908.6151,18134.4397,16896.1551,15818.958,18026.7072,16942.2319,15862.6196,18075.2021,16842.0226,15769.8262,17967.1815,17030.045,15952.558,18160.383,16954.1552,15884.2193,18076.3755,17167.202,16093.8524,18292.5067,17338.5051,16262.5701,18466.1163,17204.2356,16133.2728,18326.7156,17288.7252,16217.3881,18411.3857,17253.1502,16184.8702,18372.5287,17220.3738,16158.1632,18333.1861,17131.9799,16075.3018,18238.9962,17204.3139,16148.0022,18310.7434,17497.0154,16429.7392,18614.5519,17593.739,16284.8284,18977.5232,17948.0702,16871.4465,19074.4896,18347.1371,17256.6423,19487.5232
MSOA,E02002342,19750.7796,18426.7716,21142.7521,19997.2727,18664.773,21397.6957,22857.9949,20902.2429,24944.8016,22573.2347,20625.1516,24653.3073,20657.1864,19296.6229,22086.1589,20469.3998,19118.7946,21887.875,20311.6936,18970.3982,21720.4292,20225.5421,18893.2424,21624.792,20629.9558,19283.9862,22042.8499,20575.851,19237.7848,21980.2297,20636.1928,19296.0389,22042.9087,20709.3541,19367.865,22117.2889,20883.6721,19539.7137,22293.873,21103.2678,19756.661,22515.7494,21020.9409,19677.7464,22429.8784,20936.241,19601.602,22336.1345,21041.4879,19704.6285,22443.4331,21079.3871,19741.7326,22482.0287
MSOA,E02002343,19989.7669,18665.037,21382.5784,19821.6243,18506.1419,21204.8729,19810.3799,18491.2829,21197.6717,20183.1672,18853.2881,21581.0729,20245.8492,18919.6912,21639.4511,20527.5012,19207.207,21913.7349,20288.2513,18978.9851,21663.2361,20772.3853,19443.8747,22166.8796,21051.5983,19722.7769,22445.4592,20613.0843,19304.5955,21986.1373,20981.1077,19661.0718,22365.7185,21303.5986,19977.9625,22693.3681,21312.2522,19991.3206,22696.8901,21504.7712,20178.6384,22894.4989,21164.9505,19856.8483,22535.9771,20969.0476,19669.0211,22331.8702,21180.759,19878.8147,22545.0742,21052.2053,19755.6225,22411.0299
MSOA,E02002344,18963.044,17862.3277,20113.359,18856.3163,17762.3195,19999.5643,18542.1872,17459.189,19674.2539,18635.0069,17550.4339,19768.5848,18776.4526,17674.8056,19928.3135,18711.3829,17624.5234,19847.2835,18875.7914,17785.8889,20014.6279,19016.8607,17928.3462,20153.8334,19066.221,17978.0294,20202.7067,18969.857,17887.822,20099.934,19074.1428,17991.7047,20204.3259,18975.9559,17897.7842,20101.726,18815.8147,17743.0685,19936.0025,19009.3038,17934.3739,20131.3409,18700.6294,17636.3962,19811.8046,18868.2037,17725.1106,20064.9417,18559.5872,17500.9456,19665.0262,18734.8508,17672.2156,19844.1548
MSOA,E02002345,15918.47,14694.1004,17214.5653,15674.5825,14467.3236,16952.8358,15314.1056,14094.7842,16607.6817,15619.2085,14382.3221,16930.8677,15969.5763,14740.8361,17270.3532,15982.1001,14757.9528,17277.7425,16076.1044,14857.9459,17364.7701,16218.0178,14990.0629,17516.9414,16222.748,14998.147,17517.8108,16280.3152,15062.4589,17567.685,16374.6742,15154.1819,17664.6296,16726.7039,15494.4549,18028.1934,16840.6213,15608.916,18140.9607,17151.5132,15914.563,18456.5945,17445.9692,16198.8809,18761.1069,17676.9125,16397.9199,19026.5909,17695.6497,16455.3891,19002.6216,17692.0007,16451.424,18999.3487
MSOA,E02002346,23446.5165,21970.6377,24994.9044,23673.7971,22193.4569,25226.4,26398.2295,23986.1741,28984.854,26646.1199,24247.2896,29216.013,23979.0849,22490.1238,25540.081,24120.9881,22633.9722,25679.5348,24006.8874,22523.6555,25561.5789,23839.2979,22367.611,25381.7417,23954.7583,22482.6206,25497.3841,24277.0053,22795.2608,25829.159,23834.7539,22372.6819,25366.7962,23599.0515,22152.672,25114.6148,23460.2965,22022.6162,24966.7445,23559.278,22123.9491,25062.8451,23887.1678,22441.9456,25400.6519,24239.8026,22782.1586,25765.8197,24480.2295,23018.8359,26009.672,24506.6837,23048.7912,26032.2004
MSOA,E02002347,24952.9675,23425.6501,26552.4963,25059.274,23529.5379,26661.2999,25239.4523,23710.3008,26840.2958,25426.3339,23888.4845,27036.1419,25137.5729,23612.8572,26733.8782,25259.3722,23743.1312,26846.0117,25348.2788,23829.0079,26937.9532,25548.1897,24028.8324,27137.354,25599.8349,24080.2734,27189.0486,25346.6141,23841.8485,26920.4185,25144.3496,23657.2774,26699.5208,25420.4163,23927.9385,26980.7022,25658.0231,24164.4126,27219.0281,25881.5381,24379.0713,27451.5534,26127.5238,24617.3461,27705.2614,26345.2428,24631.9162,28145.0573,26668.1179,25150.5685,28252.4593,26840.671,25317.1945,28431.0266
MSOA,E02002348,20846.2512,19462.7661,22301.2598,21349.6748,19954.6393,22815.6571,19471.8486,17858.5408,21189.9839,19462.2538,17844.0589,21185.9888,22135.1066,20715.4886,23625.4282,21872.6608,20459.2954,23356.9304,22003.2036,20595.2581,23481.0782,22139.3545,20730.8207,23617.4646,22230.3414,20825.1996,23704.4428,22281.27,20877.1044,23754.1996,22170.2992,20773.631,23635.3643,22085.568,20690.788,23548.7623,22163.6974,20767.9353,23627.7025,22391.1178,20998.6198,23850.8435,22840.6835,21435.4963,24313.0156,22914.5839,21505.4835,24390.9135,22823.3153,21431.1124,24281.5064,23514.3464,22102.5507,24991.9134
MSOA,E02002349,16697.2235,15431.4378,18037.1612,16219.164,14995.861,17514.1303,16185.9415,14967.7654,17475.264,16288.5995,15069.8511,17578.313,16227.8088,15019.5472,17506.1091,16154.8098,14949.3091,17430.137,15870.5318,14686.1199,17123.7027,15725.2995,14553.9686,16964.63,15540.0833,14381.9146,16765.5378,15489.6585,14340.6285,16704.9484,15638.0213,14481.84,16860.6788,15780.6877,14621.9102,17005.6545,15729.5196,14575.1123,16949.8666,15482.0363,14343.3131,16686.0881,15439.4402,14304.5862,16639.4008,15505.1622,14356.1671,16720.612,15466.6006,14334.1757,16663.616,15443.8802,14311.1821,16641.1843
