AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002387,49.1,22.4037,93.2864,53.2,25.3529,98.0923,88.5,51.3577,141.9805,88.3,51.2236,141.6856,104.7,63.7089,162.0428,99.3,59.4513,155.5403,73.8,26.8443,161.0758,70.5,25.0715,154.9372,110.4,51.9639,204.6049,107.8,50.6426,199.9435,117.9,57.7407,212.7122,115.4,56.4541,208.2998,28.5,5.8419,83.3751,38.5,10.4635,98.632,68.6,27.5498,141.397,69.8,28.0258,143.881,92.5,42.2703,175.6379,83,35.7859,163.6243
MSOA,E02002388,39.9,18.0385,76.0842,35.7,15.0178,71.0176,35.2,14.8673,69.9208,42.6,20.0535,78.9472,42.4,19.9543,78.5847,49.6,24.1553,89.7014,65.1,25.5963,135.1545,38.9,10.2389,100.3717,49.8,15.8092,116.929,65,25.3454,135.3222,57.2,20.2293,125.9167,48.1,14.5601,114.3385,17.3,1.9548,62.9106,34.5,9.0668,89.0486,23.8,4.5757,70.3589,23.1,4.4728,68.2126,30.7,8.1208,79.1274,51.8,18.3999,113.8801
MSOA,E02002389,55.1,30.0079,92.6215,47.7,24.5739,83.4357,55.5,30.2963,93.1884,51.6,27.4221,88.3176,58.7,32.7933,96.9061,74,44.197,116.0623,48.1,17.5502,104.8823,47.6,17.3424,103.8393,47,17.0898,102.5937,69.2,31.4193,131.7328,66.2,30.1173,125.9224,92.3,47.3462,161.765,63.9,27.4009,126.227,48.6,17.7626,105.917,63.9,27.5272,126.0114,32.6,8.8188,83.6054,48.5,17.7608,105.6344,52.3,20.2329,109.1668
MSOA,E02002390,42.1,20.0313,77.677,46.7,23.0971,83.8986,51,26.1354,89.4221,30.2,11.9541,62.5567,31.8,12.7333,65.6123,52,26.6396,91.1883,38.7,10.3314,99.5443,38,10.2679,97.4792,47,15.1831,109.8358,27.8,5.6879,81.3526,36.5,9.903,93.5445,59.8,23.6717,123.8688,44.6,16.189,97.407,54.4,21.5544,112.6473,54.9,21.6748,113.8205,32.5,8.5234,83.9243,27.4,5.6077,80.1781,44.8,14.3897,104.8579
MSOA,E02002391,24.6,9.694,51.0338,28.3,11.9696,56.1864,25.7,10.2102,53.1691,26.1,10.3875,53.964,26,10.334,53.7815,30,12.8326,59.3157,38.1,12.1344,89.38,46.7,16.6526,102.5485,37.5,11.7218,88.4098,39.5,12.5225,92.7784,48,17.3476,104.9731,41.6,13.2269,97.6345,12.3,1.1833,45.3422,12,1.147,44.2584,14.5,1.7246,52.4723,14.1,1.6217,51.1892,7.2,0.1811,40.1213,20.7,4.1955,60.6719
MSOA,E02002392,59.6,15.9501,153.2192,27.6,3.0231,100.6501,32.7,3.8891,118.3347,50.5,10.3431,147.755,69,18.5662,177.1692,72.8,19.5144,187.0858,91.7,18.6405,268.6408,27.8,0.6528,155.1309,29,0.6782,161.8404,61.6,7.2404,223.1734,65.3,7.0391,238.4692,39.8,0.9928,221.8212,32.1,0.7513,179.1376,30.9,0.7288,172.415,34.3,0.8288,191.2932,35.4,0.8491,197.4575,74.4,8.9935,268.8079,109.8,22.5322,321.1514
MSOA,E02002393,94.2,54.793,150.9414,85,47.4778,140.3363,51.4,23.3686,97.7962,71.2,36.5911,124.6795,51.4,21.9995,101.6053,62.2,29.3176,115.2098,144.4,78.651,242.7181,117.9,58.5033,211.5104,64.9,23.4205,141.9972,78.5,31.0926,162.5708,52.7,14.3281,134.9991,70.6,24.6273,156.0487,37.5,7.6752,109.7319,51.6,14.0112,132.2195,38.8,7.8748,113.6969,63.7,20.5227,148.9715,52.1,14.0363,133.7381,53.1,14.2147,136.5003
MSOA,E02002394,54.5,26.0173,100.4169,54.5,26.0108,100.4275,56,26.7731,103.1167,55.5,26.5038,102.2448,63.3,32.3056,111.1942,57.7,28.335,103.9797,74.2,29.6693,153.1693,64.6,23.5795,140.8441,56.3,18.2371,131.471,46,12.4531,117.9505,46.5,12.5292,119.3598,25.2,3.0482,91.0419,34.8,7.1378,101.7943,44.6,12.0297,114.456,56.1,18.0579,131.23,65.2,23.7924,142.1636,81.5,34.7422,161.3453,93.1,42.1244,177.4724
MSOA,E02002395,33.3,14.2641,65.8063,28.9,11.5358,59.6931,29,11.5911,59.8725,34.3,14.7816,67.6303,25.5,9.3164,55.5801,34.2,14.7413,67.4283,42.1,13.3858,98.808,32.9,8.7253,84.7494,34,9.0906,87.4251,46.1,14.914,107.6897,46.2,14.9525,107.9111,38.3,10.3617,98.2214,24.5,4.9745,71.7883,24.4,4.9854,71.4198,24.2,4.9352,70.8568,24.1,4.9239,70.5421,7.8,0.1165,43.8386,31.4,8.5013,80.5126
MSOA,E02002396,34.8,16.5361,64.2433,35.4,16.7904,65.4006,34.1,16.0323,63.227,38.6,18.8655,69.7019,26.7,11.1075,53.3263,31.8,14.3131,60.7434,48.7,19.25,100.9257,50.1,19.6908,104.0268,47.3,18.1106,99.0636,58,23.8908,116.2461,33.3,9.5425,80.2192,26.9,6.7688,70.077,21.6,4.4011,63.2536,21.8,4.4684,63.775,21.1,4.2193,61.9828,21,4.2645,61.5312,20.1,4.0322,59.0141,35.4,11.421,82.7565
