AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002340,18331.2203,17144.0801,19578.6649,18274.0242,17089.1791,19519.1265,18076.9339,16901.4774,19312.3432,18127.9467,16951.7333,19364.0129,17970.4197,16784.5692,19217.6495,18169.0129,16987.8775,19410.2862,18241.1458,17056.0023,19486.5965,17795.8666,16625.0544,19027.0638,17857.3828,16683.0342,19092.2271,17817.7675,16643.9859,19052.1591,17848.6827,16674.1912,19083.7131,17633.2438,16463.2556,18864.045,17556.6945,16386.4492,18787.9871,17495.4593,16326.7187,18725.3171,17374.8409,16206.3706,18604.7899,17011.8842,15855.2395,18230.0723,16337.308,15207.079,17528.7652,16568.8677,15427.3982,17771.9334
MSOA,E02002341,9809.0441,9032.8158,10633.7542,9784.185,9010.7558,10605.9213,9776.0481,8999.926,10600.8139,9552.3571,8782.7755,10370.8583,9404.2516,8643.4298,10213.6979,9339.8232,8583.9222,10144.0342,9130.5621,8383.1314,9926.3331,9093.5177,8346.3706,9889.1667,8987.2251,8243.4784,9779.5712,8771.6857,8036.0653,9556.0702,8546.1687,7820.4151,9320.6518,8527.5593,7803.3205,9300.4259,8336.0356,7620.0476,9100.633,8386.5992,7667.0784,9154.9196,8303.2982,7583.1553,9072.7358,8549.9986,7660.7643,9512.1628,8306.7919,7588.5733,9074.0216,8285.3687,7569.652,9049.8255
MSOA,E02002342,16961.8096,15843.1643,18138.3212,16782.4525,15670.2289,17952.4866,19930.0597,18254.8848,21717.155,19510.8808,17850.4145,21283.8496,16733.6357,15618.2957,17907.3359,16576.4022,15466.7923,17744.2862,16440.7137,15332.3274,17607.7073,16255.2853,15148.9733,17420.6491,16217.5072,15111.6193,17382.5368,16199.9688,15100.702,17357.726,16041.1903,14944.9325,17196.2624,15866.6317,14775.9071,17016.2523,15596.4695,14519.5202,16731.8753,15508.7921,14436.5784,16639.3201,15450.4112,14375.4195,16584.2178,15066.6157,14005.4515,16186.547,14624.8592,13579.7368,15728.7487,14451.1318,13416.7964,15543.7097
MSOA,E02002343,14706.8213,13655.9891,15816.3306,14577.0535,13534.7254,15677.7053,14723.3783,13670.4475,15835.226,14561.3598,13515.6116,15665.9103,14232.0693,13195.414,15327.8954,14290.517,13259.4859,15379.8102,14340.0735,13305.1796,15433.4893,14128.0616,13097.8557,15217.1129,13915.9103,12891.2277,14999.6386,13831.4923,12813.4884,14908.2005,13589.5594,12581.9087,14655.7953,13528.276,12523.5267,14591.5297,13559.7471,12555.5297,14622.2625,13552.3793,12547.3566,14615.8344,13357.0224,12363.1947,14408.8497,12879.9076,11904.3764,13913.4784,12619.2514,11658.0533,13638.0449,12748.1273,11778.6933,13775.5119
MSOA,E02002344,11602.0668,10804.3774,12442.8013,11415.547,10624.4033,12249.7184,11201.6891,10414.8564,12031.8897,10931.1768,10152.9197,11752.9209,11294.2721,10492.7385,12140.4387,11087.3539,10299.8517,11918.7683,11127.7545,10338.7699,11960.6733,10955.4748,10173.6371,11781.1828,10730.9756,9957.5348,11548.2471,10722.0879,9950.8371,11536.952,10501.2751,9738.2846,11307.8476,10331.5482,9572.9199,11133.9235,10174.3588,9422.846,10969.4668,10332.6151,9575.803,11132.9092,10315.751,9559.4288,11115.5589,10192.7012,9392.5654,11042.052,9724.5248,8992.9621,10499.341,9554.7728,8830.528,10322.1746
MSOA,E02002345,10758.4879,9840.7624,11737.9556,10782.1514,9863.1712,11762.9582,10925.8432,9969.0598,11948.808,10643.267,9696.4035,11656.6886,10491.0673,9577.7594,11467.2183,10522.6341,9611.0548,11496.6768,10385.4678,9479.4337,11354.041,10416.7516,9506.9986,11389.3665,10450.6397,9540.0653,11424.0005,10284.7655,9387.7242,11243.7903,10003.4354,9116.889,10952.2321,9641.3228,8770.835,10574.0958,9333.2369,8475.5856,10253.3939,9391.6966,8532.6355,10313.075,9299.0827,8441.0356,10219.8112,9276.0765,8401.3676,10216.0802,9015.8169,8187.7852,9904.1252,8568.0649,7764.447,9431.5975
MSOA,E02002346,22701.9258,21433.6731,24025.0545,22591.7823,21326.5782,23911.8687,24075.8377,22010.8974,26279.0122,24090.1514,22028.5203,26289.6587,22135.5811,20873.8859,23453.0742,22220.8588,20959.7613,23537.5335,21819.4669,20570.2412,23124.1824,21479.2925,20242.1559,22771.6999,21333.0855,20101.9611,22619.3849,21058.5513,19834.9451,22337.3438,20744.9943,19530.172,22015.0609,20795.222,19582.0457,22063.3901,20395.699,19196.0389,21650.2192,20252.0855,19058.7219,21500.0469,20278.3974,19083.7265,21527.7002,19730.8877,18549.2943,20967.395,19513.9741,18336.2477,20746.8893,19318.0934,18148.5561,20542.5708
MSOA,E02002347,23238.2184,21923.1711,24610.3583,22966.5957,21660.9269,24329.3364,22978.7332,21669.139,24345.6691,22241.3029,20953.9742,23586.0168,22183.8193,20897.5133,23527.5416,22174.2105,20898.3862,23506.6311,22380.1159,21098.1371,23718.6659,22242.9899,20968.0855,23574.227,21890.1308,20625.4038,23211.2105,21522.7978,20269.8542,22832.0208,21685.0291,20427.5752,22998.7621,21378.1349,20127.9513,22684.7549,21246.2601,20002.0248,22546.7917,21421.7127,20169.7991,22730.1407,21219.4218,19972.0936,22523.3941,20449.6577,19073.8672,21897.0446,20414.6345,19210.3235,21673.7626,20298.0815,19095.1617,21556.0362
MSOA,E02002348,20545.8812,19324.7857,21823.5356,20168.6386,18964.7853,21428.5214,19049.7756,17596.1509,20590.6412,18472.7005,17032.6227,20001.2068,19350.9973,18173.3244,20584.4901,19395.1165,18216.4798,20629.5627,19706.5676,18520.3988,20948.3482,19250.847,18078.8599,20478.4403,19100.0126,17936.2278,20319.0422,19308.9668,18137.1934,20536.1415,18655.9829,17507.7411,19859.3738,18352.6459,17210.5285,19550.1923,18394.0232,17252.7491,19590.4826,18791.2613,17639.7665,19997.6948,18450.2625,17310.0155,19645.4447,17994.9889,16867.8068,19177.1067,17683.8295,16576.4891,18845.0814,17359.9496,16262.6435,18511.1657
MSOA,E02002349,13467.9332,12454.8508,14540.0943,13503.7745,12489.1731,14577.5431,13204.4801,12198.4992,14269.8474,12925.6196,11931.2475,13979.433,12688.568,11707.9304,13728.1068,12390.4993,11422.7725,13416.8703,12328.2681,11366.036,13348.9545,12376.4612,11418.1693,13392.5438,12034.7505,11095.9123,13030.6686,12168.4086,11223.8011,13170.0276,12185.3224,11232.3709,13196.2119,12404.0943,11442.5608,13423.5206,12321.3504,11368.2793,13331.6212,12178.7186,11235.586,13178.6819,12273.6104,11329.0015,13274.8207,11671.6619,10739.5205,12661.8229,11318.0774,10416.4481,12275.6832,11306.8861,10405.0743,12264.7336
