AreaType,AreaCodeName,2006-2010Persons_dsr,2006-2010Persons_lower95CI,2006-2010Persons_upper95CI,2007-2011Persons_dsr,2007-2011Persons_lower95CI,2007-2011Persons_upper95CI,2008-2012Persons_dsr,2008-2012Persons_lower95CI,2008-2012Persons_upper95CI,2009-2013Persons_dsr,2009-2013Persons_lower95CI,2009-2013Persons_upper95CI,2010-2014Persons_dsr,2010-2014Persons_lower95CI,2010-2014Persons_upper95CI,2011-2015Persons_dsr,2011-2015Persons_lower95CI,2011-2015Persons_upper95CI,2006-2010Males_dsr,2006-2010Males_lower95CI,2006-2010Males_upper95CI,2007-2011Males_dsr,2007-2011Males_lower95CI,2007-2011Males_upper95CI,2008-2012Males_dsr,2008-2012Males_lower95CI,2008-2012Males_upper95CI,2009-2013Males_dsr,2009-2013Males_lower95CI,2009-2013Males_upper95CI,2010-2014Males_dsr,2010-2014Males_lower95CI,2010-2014Males_upper95CI,2011-2015Males_dsr,2011-2015Males_lower95CI,2011-2015Males_upper95CI,2006-2010Females_dsr,2006-2010Females_lower95CI,2006-2010Females_upper95CI,2007-2011Females_dsr,2007-2011Females_lower95CI,2007-2011Females_upper95CI,2008-2012Females_dsr,2008-2012Females_lower95CI,2008-2012Females_upper95CI,2009-2013Females_dsr,2009-2013Females_lower95CI,2009-2013Females_upper95CI,2010-2014Females_dsr,2010-2014Females_lower95CI,2010-2014Females_upper95CI,2011-2015Females_dsr,2011-2015Females_lower95CI,2011-2015Females_upper95CI
MSOA,E02002391,157.9,114.7679,211.7892,167,123.0804,221.361,166.8,123.0218,220.9861,140.7,101.5213,189.9037,154,112.8132,205.2103,143.3,103.7253,192.8704,168.6,105.9876,254.2001,186.3,119.3794,276.6136,192,124.463,282.6094,144.5,88.5882,222.0762,159,99.8549,239.8597,138.1,83.2729,214.7981,147.8,92.2748,224.2539,154.3,98.559,229.999,148.2,93.6899,222.7231,139.3,87.0703,211.2162,149.4,95.4534,222.662,148.5,94.8527,221.3556
MSOA,E02002392,124.9,55.9765,233.5248,152.7,74.1316,272.0175,157.1,76.1675,280.0078,159.8,77.0804,283.4951,113.4,50.2909,209.2404,120.4,58.8741,211.136,150.6,51.3915,326.5331,180.4,66.9323,381.6201,163.1,56.0874,362.0025,168.3,55.7792,367.8408,126.1,35.1717,287.3493,128.5,39.817,275.2839,95.3,16.7698,263.7298,132.4,38.0164,307.8292,166.7,55.0333,364.7261,170.3,56.5735,371.979,120.3,35.4589,277.9927,134.5,46.6267,297.8285
MSOA,E02002393,245.6,178.6256,329.2777,238.9,171.4921,323.7873,238.3,170.5855,323.3413,223.5,158.0614,306.1405,206.6,144.0772,286.0315,175.5,118.2768,249.7491,244.3,155.8879,364.3679,234.9,146.2946,356.9026,246.4,155.1211,370.361,233.2,144.5836,354.3512,243,151.9227,366.6873,191.3,111.1229,304.4577,241.1,147.7753,370.5858,236.9,143.1401,368.0616,224.9,132.4306,355.4065,209.3,120.511,335.8193,163.2,87.2206,275.2514,160.4,84.7519,273.5208
MSOA,E02002394,257,191.7479,336.9445,266.2,199.3473,347.8035,267.1,200.0569,348.9359,234.6,172.6809,310.9135,213.6,153.7619,288.5519,188.8,133.2312,259.1822,258.7,168.8287,378.6046,285.4,189.6492,411.2497,281.4,185.9337,407.4709,246.5,158.0276,365.197,243.4,154.6658,363.1524,240,151.9598,358.8158,256.7,167.2059,376.1013,248.8,160.537,367.216,256.1,166.6428,375.4522,228.7,145.6706,340.7534,187.1,111.602,293.6538,141.2,77.7164,234.8231
MSOA,E02002395,103.2,67.1997,151.499,107.4,70.6179,156.474,107,70.3768,155.862,116.3,77.7662,167.187,114.8,76.7083,165.1031,137,94.6703,191.7102,130.5,72.5022,216.0328,120.8,65.7318,203.1465,116.3,63.2466,195.6336,124.4,69.2523,205.7296,137.4,79.5489,220.6987,147.1,86.6321,233.2632,81.1,40.3091,145.3873,98.9,52.4951,169.3725,100.4,53.35,171.8522,108.8,59.4251,182.633,93.2,48.1413,162.8271,126,71.9549,204.7107
MSOA,E02002396,165.9,121.5928,220.9902,173.5,127.5866,230.4559,182,135.011,239.9125,168.3,123.4278,223.9642,146.3,105.1818,197.9396,128.2,90.5817,175.9918,225,153.0214,318.7773,242.4,165.8565,341.7179,230.1,156.0168,326.6194,232.9,158.384,329.5872,200.7,132.6058,290.6239,149.3,93.3581,225.7804,107.3,59.9556,177.1217,107.4,60.0384,177.247,135.4,81.3634,211.6644,106.1,59.2125,175.2478,94.9,51.6072,159.638,107.3,61.0519,174.6553
MSOA,E02002397,227.2,175.6047,289.1025,177.8,133.1869,232.4584,154.6,113.2665,205.9928,150.7,110.038,201.3783,120,84.2577,165.7026,138.1,99.7365,186.2799,304.9,219.4212,412.2511,233.7,160.8254,327.889,218.6,148.7189,309.6446,196.4,130.807,283.0208,146.9,91.4615,223.2344,164,105.5527,242.8783,157.7,100.7947,234.9801,127.3,77.4914,196.9777,95.7,53.3771,158.1161,108.6,63.1045,174.1081,94.3,52.6349,155.746,113.4,67.111,179.3591
MSOA,E02002398,178.4,138.4656,226.2472,162.3,124.3771,208.1306,164.9,126.6202,211.0916,148.5,112.3725,192.5207,134.9,100.6769,176.993,112.3,81.2417,151.3055,188.6,131.2472,262.4509,189.6,131.8651,263.943,189.6,131.7746,264.0596,161,108.4187,230.11,167.8,113.91,238.3121,153.2,101.7602,221.4699,167.1,114.8912,234.8428,137.8,90.7029,200.636,142.4,94.5005,205.9712,136.6,89.8653,198.9526,105.1,64.8842,160.8985,74.5,41.5629,123.0742
MSOA,E02002399,264.1,199.3546,342.9913,226.9,167.1175,300.8952,198.5,142.8251,268.421,151.8,103.2825,215.0111,150.4,101.5295,214.3444,122.2,79.1116,180.0086,316.6,217.8801,444.1935,257.4,167.9386,376.7577,223.7,140.0337,338.0836,148.7,81.9311,247.1681,138.6,74.4344,234.5503,84,36.9346,161.9005,212,133.542,319.2632,198.9,123.8532,302.2335,176.8,107.1299,274.2621,155.6,90.2077,249.7571,160.6,92.9368,258.0269,158.8,91.7719,255.3125
MSOA,E02002400,277.3,213.5651,353.9821,236.7,177.4361,309.308,253.3,191.2593,328.8956,228.1,169.0496,300.8778,235.5,175.1089,309.6317,225.7,167.0408,297.8484,315.5,221.7857,434.9357,258.5,174.1539,368.8622,277.4,188.1111,393.73,283.5,192.3519,402.2523,292.5,199.8508,412.2471,256,171.3695,366.7343,235.1,154.6042,342.496,209.2,132.4375,314.1451,225.1,145.2278,332.8926,168.9,100.4173,265.5528,170.3,101.0891,267.9806,187.2,114.0648,288.6733
MSOA,E02002401,233.1,171.4848,309.5341,234.6,172.6109,311.4979,229.8,168.3558,306.1978,194.5,138.4377,265.5073,235.9,173.768,312.8032,195,139.293,265.3508,256.8,165.6241,379.8476,243.1,154.9067,362.8706,226.5,140.7284,344.6008,200.6,121.1437,311.7521,241.7,153.3694,361.6571,220.2,136.3654,335.6336,211.5,133.5652,318.0479,226,144.5276,336.6434,237.1,153.0942,350.4711,191.4,116.5229,296.1462,232.4,149.4792,344.3069,174.5,104.3425,273.5166
MSOA,E02002402,106.9,70.5242,155.1772,114.2,76.5708,163.6578,129.2,88.6119,181.8645,136.4,94.7737,190.0005,141.5,99.413,195.3154,138.6,96.9396,192.053,105.7,56.8363,178.7686,123.9,70.023,202.3659,115.9,63.1209,194.8234,123.9,69.0508,204.7894,145.9,86.0503,231.1824,135.1,78.2691,216.9297,105.4,57.1804,177.5054,103.1,55.8573,173.7446,139.7,83.4996,219.0183,147.6,89.7272,228.5587,139.1,83.4259,217.6755,142.8,85.8765,223.1388
