AreaType,AreaCodeName,01/07/2012_DASR,01/07/2012_lower95CI,01/07/2012_upper95CI,01/10/2012_DASR,01/10/2012_lower95CI,01/10/2012_upper95CI,01/01/2013_DASR,01/01/2013_lower95CI,01/01/2013_upper95CI,01/04/2013_DASR,01/04/2013_lower95CI,01/04/2013_upper95CI,01/07/2013_DASR,01/07/2013_lower95CI,01/07/2013_upper95CI,01/10/2013_DASR,01/10/2013_lower95CI,01/10/2013_upper95CI,01/01/2014_DASR,01/01/2014_lower95CI,01/01/2014_upper95CI,01/04/2014_DASR,01/04/2014_lower95CI,01/04/2014_upper95CI,01/07/2014_DASR,01/07/2014_lower95CI,01/07/2014_upper95CI,01/10/2014_DASR,01/10/2014_lower95CI,01/10/2014_upper95CI,01/01/2015_DASR,01/01/2015_lower95CI,01/01/2015_upper95CI,01/04/2015_DASR,01/04/2015_lower95CI,01/04/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/07/2015_DASR,01/07/2015_lower95CI,01/07/2015_upper95CI,01/01/2016_DASR,01/01/2016_lower95CI,01/01/2016_upper95CI,01/04/2016_DASR,01/04/2016_lower95CI,01/04/2016_upper95CI,01/07/2016_DASR,01/07/2016_lower95CI,01/07/2016_upper95CI,01/10/2016_DASR,01/10/2016_lower95CI,01/10/2016_upper95CI
MSOA,E02002340,4231.7492,3729.2155,4782.7313,4202.3634,3702.6669,4750.3325,4176.4165,3678.5749,4722.4494,4142.2648,3649.0857,4683.184,4183.6528,3674.3573,4742.5527,4265.5655,3755.9016,4823.8756,4272.6134,3761.0548,4833.0962,4233.8636,3723.7455,4793.3614,4304.9454,3789.0149,4870.5156,4327.0857,3813.7676,4889.3988,4327.8863,3819.3084,4884.8153,4275.918,3773.0617,4826.7707,4341.8423,3838.1895,4892.9134,4294.5565,3796.0056,4840.0454,4258.3014,3761.9632,4801.5508,4195.5865,3704.0573,4733.846,4132.5458,3650.5025,4660.2381,4169.5709,3686.0445,4698.6207
MSOA,E02002341,3919.4696,3507.262,4366.2574,3888.1432,3478.2449,4332.5881,3850.8972,3444.056,4292.0808,3864.1643,3454.6368,4308.261,3824.8872,3421.1245,4262.6794,3760.4411,3360.8497,4193.922,3723.8013,3327.4706,4153.7979,3744.9221,3349.678,4173.5296,3665.804,3275.1993,4089.5883,3695.1746,3304.575,4118.7456,3667.9411,3280.375,4088.1716,3546.1974,3166.992,3957.8715,3579.9054,3198.3497,3994.0267,3576.8854,3195.287,3991.1051,3556.2896,3175.3209,3969.9831,3164.8327,2749.8867,3623.8901,3457.2019,3082.7227,3864.2183,3493.7976,3116.8512,3903.3879
MSOA,E02002342,4042.4598,3582.0224,4545.1195,4050.1665,3589.4728,4553.0288,4155.0378,3503.3449,4892.0416,4063.1316,3600.1702,4568.3919,4181.2302,3519.2783,4930.1551,3991.6966,3534.4397,4490.8842,4027.5468,3567.7651,4529.2606,3943.9992,3491.0245,4438.6652,3886.2193,3434.1755,4380.3376,3929.0934,3474.922,4425.1437,3783.2702,3334.0748,4275.1712,3737.7879,3293.5553,4224.4214,3766.0487,3320.9224,4253.4106,3756.6042,3312.4769,4242.9552,3760.7957,3315.919,4247.8844,3734.2225,3292.3793,4218.2386,3701.1774,3261.85,4182.5209,3664.4073,3227.4644,4143.2217
MSOA,E02002343,3972.1673,3425.5865,4580.252,3844.6525,3308.2547,4442.2498,3871.1045,3326.9989,4477.6403,3801.6538,3269.0822,4394.9884,3728.4129,3194.3901,4324.9629,3714.4441,3188.4124,4301.1776,3636.0725,3120.1374,4211.7159,3475.2437,2973.0488,4036.9455,3401.5647,2907.8418,3953.9681,3344.3157,2856.9194,3889.9957,3391.5393,2902.3038,3938.7461,3384.6352,2893.7931,3933.8154,3287.607,2807.0941,3825.9369,3206.0352,2730.5872,3739.4161,3186.4798,2715.4888,3714.8605,3241.3654,2763.7611,3776.9806,3261.2275,2782.2952,3798.1486,3241.3736,2766.8289,3773.1957
MSOA,E02002344,4075.33,3650.3993,4535.5296,4019.0184,3597.7316,4475.4311,3964.8222,3549.3795,4414.9563,3881.0289,3469.3231,4327.5967,3770.829,3361.107,4216.1503,3761.8054,3356.0678,4202.5086,3823.0124,3414.4256,4266.5836,3800.8339,3395.4999,4240.763,3791.8313,3386.7549,4231.536,3832.1048,3425.7571,4273.024,3770.4871,3367.8054,4207.6476,3656.9888,3259.3797,4089.3171,3602.8675,3207.9479,4032.4452,3540.3818,3149.1115,3966.2827,3480.3444,3094.4616,3900.4396,3210.441,2817.6243,3641.9998,3403.7375,3022.4927,3819.1372,3403.7966,3026.7069,3814.2618
MSOA,E02002345,3427.8697,2988.5911,3912.958,3456.8884,3014.7597,3945.0157,3477.1124,3026.4953,3975.2851,3369.987,2935.534,3849.9614,3353.3471,2909.4889,3845.2192,3400.6165,2964.2121,3882.7468,3350.1082,2919.6168,3825.8136,3379.3813,2946.5034,3857.6156,3359.1224,2931.7896,3830.8105,3395.2328,2964.5694,3870.3898,3326.7018,2899.6587,3798.3839,3413.2471,2978.5551,3892.8489,3404.592,2972.2774,3881.3655,3440.1412,3006.3123,3918.3814,3474.3814,3038.8832,3954.2605,3472.4104,3032.4554,3957.819,3375.0641,2949.6948,3844.178,3372.9302,2949.2145,3840.1209
MSOA,E02002346,4307.0828,3769.6169,4899.1979,4301.5392,3764.8018,4892.9746,4137.6742,3263.7028,5170.0291,4401.7381,3854.6543,5004.0783,4173.9966,3294.4006,5210.8571,4341.7239,3798.8695,4939.652,4397.5797,3849.2957,5001.2413,4294.2035,3758.6569,4884.2041,4292.917,3759.3866,4880.5751,4265.7668,3734.042,4851.5571,4222.7003,3690.0185,4810.1627,4243.1923,3708.6223,4832.4865,4207.3416,3675.428,4793.8317,4221.3382,3691.1672,4805.6602,4111.4026,3587.1979,4690.145,4069.903,3544.9652,4649.8432,4020.6952,3496.9832,4599.8106,4033.0665,3508.4711,4613.0248
MSOA,E02002347,4666.1367,4069.4328,5323.3774,4602.7936,4008.6094,5258.0832,4598.5598,4006.482,5251.3872,4674.1685,4076.5109,5332.7324,4547.8078,3959.9436,5196.4067,4484.3863,3904.7441,5123.9138,4439.172,3865.9077,5071.526,4458.7013,3885.4185,5090.8053,4366.3428,3799.3389,4992.1993,4420.436,3851.304,5048.097,4300.1348,3746.2894,4911.2003,4239.1463,3690.3367,4845.0534,4148.9812,3608.7569,4745.9446,4101.7034,3563.0798,4697.3079,4133.8617,3592.0949,4732.8035,4039.9623,3433.6656,4720.3722,3856.1327,3336.3854,4432.5348,3864.185,3342.1872,4443.2296
MSOA,E02002348,3955.2743,3478.6101,4476.9902,3770.4777,3307.3835,4278.128,3901.6896,3328.0183,4542.5303,3700.1707,3238.5549,4207.0278,3891.3101,3311.4522,4539.8775,3760.1123,3296.3519,4268.583,3653.6951,3201.1087,4150.1817,3619.6271,3170.7503,4112.3141,3583.0384,3135.2761,4074.9618,3631.6499,3182.5546,4124.5767,3579.0551,3133.042,4069.1501,3577.5525,3130.8308,4068.3327,3612.1754,3164.4316,4103.9854,3614.6434,3164.8622,4108.8789,3575.4595,3126.6892,4068.9656,3543.7666,3094.5596,4038.1446,3516.78,3072.8037,4005.2065,3488.1544,3047.9069,3972.4788
MSOA,E02002349,3477.5026,2983.8484,4027.4795,3667.4257,3161.0795,4229.6885,3646.7262,3143.2636,4205.4963,3671.9648,3168.5413,4230.8362,3744.5893,3234.5583,4310.216,3642.5341,3135.9719,4205.4841,3581.6486,3091.0533,4126.1378,3491.2047,3012.6978,4022.6936,3595.2115,3110.1093,4133.1921,3499.4145,3023.9842,4027.0728,3551.242,3070.5828,4084.4303,3562.2797,3080.681,4096.3748,3505.292,3029.3551,4033.5125,3501.015,3027.7421,4026.1439,3473.8419,3004.1563,3994.9904,3539.4764,3062.7294,4068.058,3551.957,3077.2328,4077.7761,3540.4131,3064.0425,4068.1847
MSOA,E02002350,3527.2322,3099.1802,3997.1487,3452.2317,3028.5551,3917.6939,3170.0597,2066.9629,4641.7911,3414.2004,2992.971,3877.2401,2898.0543,1862.2521,4295.9354,3287.1031,2875.0458,3740.8714,3203.783,2799.5531,3649.2073,3245.8244,2836.5227,3696.7437,3208.8979,2804.0728,3655.1652,3208.4042,2803.332,3654.8499,3240.7336,2836.53,3685.6723,3237.5525,2834.2435,3681.3284,3325.2163,2914.8272,3776.3397,3284.6552,2878.8555,3730.7336,3295.6714,2888.1724,3743.5315,3244.4275,2840.1976,3688.9532,3178.6293,2782.4235,3614.5026,3153.4428,2762.609,3583.1532
MSOA,E02002351,3653.3618,3197.1723,4155.1252,3656.4965,3200.7056,4157.6253,3672.2443,3217.7702,4171.6365,3528.5828,3046.4686,4063.9376,3607.5687,3153.8517,4106.9103,3633.9173,3180.9718,4132.0149,3640.7438,3187.6064,4139.0524,3653.3517,3200.4809,4151.2699,3621.3186,3168.9924,4118.8328,3608.5998,3158.2153,4103.9783,3533.6431,3090.9834,4020.718,3458.5893,3021.4505,3940.0767,3379.6035,2950.2872,3852.6706,3294.7926,2871.2597,3761.9816,3254.6198,2832.2158,3720.8675,3150.1494,2732.4789,3612.3299,3165.9212,2754.045,3621.16,3223.7484,2810.9902,3679.1504
