ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,Street,Ward,ONS Ref,Lat ,Long,Type ,Colour
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Commercial Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.797353,-1.545103,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Cookridge Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.799949,-1.548822,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Dyer Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.798731,-1.536566,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Eastgate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.798731,-1.536566,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Great George Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.801286,-1.554026,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Great George Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.800973,-1.545704,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Greek Street,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.7984,-1.547337,Toast rack car design,Yellow
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Jubilee Wing (LGI) ,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.80262,-1.551572,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Kirkgate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.795276,-1.546745,Cycle Racks,silver
22/04/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/559,Street Furniture,Kirkgate,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,53.79704,-1.54087,Cycle Racks,silver
