"","X","lng","lat","order","piece","id","group","Quantity","Year","From","To"
"235",235,5.45537992097823,50.1155642229405,15,1,11,11.1,137,2013,"Belgium","Luxembourg"
"236",236,5.55765432839733,50.0636079664678,16,1,11,11.1,137,2013,"Belgium","Luxembourg"
"237",237,5.65970723163463,50.0115620455377,17,1,11,11.1,137,2013,"Belgium","Luxembourg"
"238",238,5.76153913820389,49.95942681927,18,1,11,11.1,137,2013,"Belgium","Luxembourg"
"239",239,5.86315055712566,49.9072026455496,19,1,11,11.1,137,2013,"Belgium","Luxembourg"
"240",240,5.96454199888841,49.8548898810266,20,1,11,11.1,137,2013,"Belgium","Luxembourg"
"241",241,6.06571397541007,49.8024888811164,21,1,11,11.1,137,2013,"Belgium","Luxembourg"
"242",242,6.166667,49.75,22,1,11,11.1,137,2013,"Belgium","Luxembourg"
"287",287,4,50.833333,1,1,14,14.1,80,2013,"Belgium","Serbia"
"288",288,4.91166745942901,50.5692839325317,2,1,14,14.1,80,2013,"Belgium","Serbia"
"289",289,5.8130389242682,50.2981984395238,3,1,14,14.1,80,2013,"Belgium","Serbia"
"290",290,6.70406684963369,50.0202233283874,4,1,14,14.1,80,2013,"Belgium","Serbia"
"291",291,7.58471976211212,49.7355050709988,5,1,14,14.1,80,2013,"Belgium","Serbia"
"292",292,8.45498148583566,49.4441895701973,6,1,14,14.1,80,2013,"Belgium","Serbia"
"293",293,9.31485035662791,49.1464219426089,7,1,14,14.1,80,2013,"Belgium","Serbia"
"294",294,10.164338430144,48.8423463176629,8,1,14,14.1,80,2013,"Belgium","Serbia"
"295",295,11.0034706894143,48.5321056525614,9,1,14,14.1,80,2013,"Belgium","Serbia"
"296",296,11.8322842566811,48.2158415628709,10,1,14,14.1,80,2013,"Belgium","Serbia"
"297",297,12.6508276139036,47.8936941683252,11,1,14,14.1,80,2013,"Belgium","Serbia"
"298",298,13.4591598357966,47.5658019533626,12,1,14,14.1,80,2013,"Belgium","Serbia"
"299",299,14.257349838779,47.2323016418644,13,1,14,14.1,80,2013,"Belgium","Serbia"
"300",300,15.0454756487378,46.8933280855169,14,1,14,14.1,80,2013,"Belgium","Serbia"
