"","X","lng","lat","order","piece","id","group","Quantity","Year","From","To"
"111",111,13.333333,47.333333,1,1,6,6.1,17451,2013,"Austria","Slovenia"
"112",112,13.4223212931153,47.2824173661985,2,1,6,6.1,17451,2013,"Austria","Slovenia"
"113",113,13.5111383467449,47.2314329785511,3,1,6,6.1,17451,2013,"Austria","Slovenia"
"114",114,13.5997845653776,47.1803800917273,4,1,6,6.1,17451,2013,"Austria","Slovenia"
"115",115,13.6882603539243,47.1292589595415,5,1,6,6.1,17451,2013,"Austria","Slovenia"
"116",116,13.7765661176996,47.0780698349544,6,1,6,6.1,17451,2013,"Austria","Slovenia"
"117",117,13.8647022624038,47.026812970074,7,1,6,6.1,17451,2013,"Austria","Slovenia"
"118",118,13.9526691941055,46.975488616157,8,1,6,6.1,17451,2013,"Austria","Slovenia"
"119",119,14.0404673192237,46.9240970236093,9,1,6,6.1,17451,2013,"Austria","Slovenia"
"120",120,14.1280970445106,46.8726384419882,10,1,6,6.1,17451,2013,"Austria","Slovenia"
"121",121,14.2155587770343,46.8211131200025,11,1,6,6.1,17451,2013,"Austria","Slovenia"
"122",122,14.3028529241617,46.7695213055148,12,1,6,6.1,17451,2013,"Austria","Slovenia"
"123",123,14.389979893542,46.717863245542,13,1,6,6.1,17451,2013,"Austria","Slovenia"
"124",124,14.4769400930898,46.6661391862571,14,1,6,6.1,17451,2013,"Austria","Slovenia"
"125",125,14.5637339309687,46.61434937299,15,1,6,6.1,17451,2013,"Austria","Slovenia"
"126",126,14.6503618155752,46.5624940502295,16,1,6,6.1,17451,2013,"Austria","Slovenia"
"127",127,14.7368241555221,46.5105734616243,17,1,6,6.1,17451,2013,"Austria","Slovenia"
"128",128,14.8231213596234,46.4585878499841,18,1,6,6.1,17451,2013,"Austria","Slovenia"
"129",129,14.909253836878,46.4065374572818,19,1,6,6.1,17451,2013,"Austria","Slovenia"
"130",130,14.9952219964541,46.3544225246541,20,1,6,6.1,17451,2013,"Austria","Slovenia"
"131",131,15.0810262476743,46.3022432924036,21,1,6,6.1,17451,2013,"Austria","Slovenia"
"132",132,15.166667,46.25,22,1,6,6.1,17451,2013,"Austria","Slovenia"
"133",133,28,53,1,1,7,7.1,49082,2013,"Belarus","Russia"
"134",134,30.3895561299042,54.1472108406407,2,1,7,7.1,49082,2013,"Belarus","Russia"
"135",135,32.9122333846593,55.244453117879,3,1,7,7.1,49082,2013,"Belarus","Russia"
"136",136,35.574397139118,56.2867680080566,4,1,7,7.1,49082,2013,"Belarus","Russia"
"137",137,38.381319858924,57.26883297051,5,1,7,7.1,49082,2013,"Belarus","Russia"
"138",138,41.336700169254,58.1849985997886,6,1,7,7.1,49082,2013,"Belarus","Russia"
"139",139,44.4421129940863,59.0293519565869,7,1,7,7.1,49082,2013,"Belarus","Russia"
"140",140,47.6964160800183,59.7958114717523,8,1,7,7.1,49082,2013,"Belarus","Russia"
"141",141,51.0951568644732,60.4782570402744,9,1,7,7.1,49082,2013,"Belarus","Russia"
"142",142,54.6300437624722,61.0706960717454,10,1,7,7.1,49082,2013,"Belarus","Russia"
