"","X","lng","lat","order","piece","id","group","Quantity","Year","From","To"
"1",1,13.333333,47.333333,1,1,1,1.1,1985,2013,"Austria","Croatia"
"2",2,13.440470890571,47.2311082698669,2,1,1,1.1,1985,2013,"Austria","Croatia"
"3",3,13.5471960778929,47.1287840589352,3,1,1,1.1,1985,2013,"Austria","Croatia"
"4",4,13.6535112227263,47.0263611042642,4,1,1,1.1,1985,2013,"Austria","Croatia"
"5",5,13.7594189688903,46.9238401367093,5,1,1,1.1,1985,2013,"Austria","Croatia"
"6",6,13.8649219433366,46.8212218809797,6,1,1,1.1,1985,2013,"Austria","Croatia"
"7",7,13.9700227562256,46.7185070556949,7,1,1,1.1,1985,2013,"Austria","Croatia"
"8",8,14.0747240010024,46.6156963734416,8,1,1,1.1,1985,2013,"Austria","Croatia"
"9",9,14.1790282544744,46.5127905408291,9,1,1,1.1,1985,2013,"Austria","Croatia"
"10",10,14.2829380768895,46.4097902585449,10,1,1,1.1,1985,2013,"Austria","Croatia"
"11",11,14.3864560120148,46.3066962214098,11,1,1,1.1,1985,2013,"Austria","Croatia"
"12",12,14.4895845872163,46.203509118432,12,1,1,1.1,1985,2013,"Austria","Croatia"
"13",13,14.5923263135396,46.1002296328615,13,1,1,1.1,1985,2013,"Austria","Croatia"
"14",14,14.6946836857904,45.9968584422434,14,1,1,1.1,1985,2013,"Austria","Croatia"
"15",15,14.7966591826166,45.893396218471,15,1,1,1.1,1985,2013,"Austria","Croatia"
"16",16,14.8982552665903,45.7898436278384,16,1,1,1.1,1985,2013,"Austria","Croatia"
"17",17,14.9994743842908,45.6862013310927,17,1,1,1.1,1985,2013,"Austria","Croatia"
"18",18,15.1003189663876,45.5824699834857,18,1,1,1.1,1985,2013,"Austria","Croatia"
"19",19,15.2007914277246,45.4786502348251,19,1,1,1.1,1985,2013,"Austria","Croatia"
"20",20,15.300894167404,45.3747427295253,20,1,1,1.1,1985,2013,"Austria","Croatia"
"21",21,15.4006295688713,45.2707481066575,21,1,1,1.1,1985,2013,"Austria","Croatia"
"22",22,15.5,45.166667,22,1,1,1.1,1985,2013,"Austria","Croatia"
"23",23,13.333333,47.333333,1,1,2,2.1,2815,2013,"Austria","Germany"
"24",24,13.2088529981446,47.5332409821045,2,1,2,2.1,2815,2013,"Austria","Germany"
"25",25,13.0834206330405,47.7330132401614,3,1,2,2.1,2815,2013,"Austria","Germany"
"26",26,12.9570225122372,47.9326477713424,4,1,2,2.1,2815,2013,"Austria","Germany"
"27",27,12.8296450180636,48.1321425365186,5,1,2,2.1,2815,2013,"Austria","Germany"
"28",28,12.701274303139,48.3314954594554,6,1,2,2.1,2815,2013,"Austria","Germany"
"29",29,12.5718962857873,48.5307044259874,7,1,2,2.1,2815,2013,"Austria","Germany"
"30",30,12.4414966453538,48.7297672831717,8,1,2,2.1,2815,2013,"Austria","Germany"
"31",31,12.3100608174237,48.9286818384205,9,1,2,2.1,2815,2013,"Austria","Germany"
"32",32,12.1775739889376,49.127445858611,10,1,2,2.1,2815,2013,"Austria","Germany"
"33",33,12.0440210932048,49.3260570691734,11,1,2,2.1,2815,2013,"Austria","Germany"
"34",34,11.9093868048112,49.5245131531548,12,1,2,2.1,2815,2013,"Austria","Germany"
"35",35,11.7736555344186,49.7228117502597,13,1,2,2.1,2815,2013,"Austria","Germany"
"36",36,11.6368114234565,49.9209504558658,14,1,2,2.1,2815,2013,"Austria","Germany"
"37",37,11.4988383387001,50.1189268200142,15,1,2,2.1,2815,2013,"Austria","Germany"
"38",38,11.3597198667368,50.3167383463738,16,1,2,2.1,2815,2013,"Austria","Germany"
"39",39,11.2194393083157,50.5143824911795,17,1,2,2.1,2815,2013,"Austria","Germany"
"40",40,11.0779796725798,50.7118566621419,18,1,2,2.1,2815,2013,"Austria","Germany"
"41",41,10.9353236711785,50.9091582173295,19,1,2,2.1,2815,2013,"Austria","Germany"
"42",42,10.7914537122578,51.1062844640216,20,1,2,2.1,2815,2013,"Austria","Germany"
"43",43,10.6463518943273,51.3032326575318,21,1,2,2.1,2815,2013,"Austria","Germany"
"44",44,10.5,51.5,22,1,2,2.1,2815,2013,"Austria","Germany"
"45",45,13.333333,47.333333,1,1,3,3.1,2276,2013,"Austria","Hungary"
"46",46,13.6523638606283,47.3262619014643,2,1,3,3.1,2276,2013,"Austria","Hungary"
"47",47,13.971303974887,47.3183057722196,3,1,3,3.1,2276,2013,"Austria","Hungary"
"48",48,14.290142715629,47.3094651252785,4,1,3,3.1,2276,2013,"Austria","Hungary"
"49",49,14.608869481794,47.2997405302449,5,1,3,3.1,2276,2013,"Austria","Hungary"
"50",50,14.9274737011016,47.2891326131388,6,1,3,3.1,2276,2013,"Austria","Hungary"
"51",51,15.2459448327261,47.2776420562026,7,1,3,3.1,2276,2013,"Austria","Hungary"
"52",52,15.5642723699514,47.2652695976917,8,1,3,3.1,2276,2013,"Austria","Hungary"
"53",53,15.8824458428057,47.2520160316474,9,1,3,3.1,2276,2013,"Austria","Hungary"
"54",54,16.2004548206726,47.2378822076538,10,1,3,3.1,2276,2013,"Austria","Hungary"
"55",55,16.5182889148786,47.2228690305771,11,1,3,3.1,2276,2013,"Austria","Hungary"
"56",56,16.8359377812541,47.2069774602903,12,1,3,3.1,2276,2013,"Austria","Hungary"
"57",57,17.1533911226683,47.1902085113799,13,1,3,3.1,2276,2013,"Austria","Hungary"
"58",58,17.4706386915341,47.1725632528381,14,1,3,3.1,2276,2013,"Austria","Hungary"
